nm	lamp	intensity
762	training	250.72
763	training	247.65
764	training	245.9333333
765	training	243.73
766	training	241.9433333
767	training	240.7133333
768	training	238.8625
769	training	235.7333333
770	training	232.14
771	training	230.0366667
772	training	228.0675
773	training	226.2433333
774	training	225.6433333
775	training	223.51
776	training	221.0266667
777	training	217.45
778	training	216.79
779	training	215.1533333
780	training	211.56
781	training	209.77
782	training	209.1233333
783	training	205.7566667
784	training	204.5466667
785	training	202.3725
786	training	200.0566667
787	training	197.3333333
788	training	197.3333333
789	training	196.23
790	training	192.9766667
791	training	192.3833333
792	training	188.9666667
793	training	187.245
794	training	188.4766667
795	training	183.1266667
796	training	183.06
797	training	182.275
798	training	178.3533333
799	training	177.7133333
800	training	175.93
280	testing	7.74
281	testing	7.86
282	testing	7.483333333
283	testing	8.38
284	testing	7.246666667
285	testing	6.816666667
286	testing	7.22
287	testing	7.216666667
288	testing	6.393333333
289	testing	6.78
290	testing	7.36
291	testing	6.65
292	testing	7.256666667
293	testing	6.79
294	testing	6.405
295	testing	6.046666667
296	testing	5.726666667
297	testing	5.925
298	testing	6.01
299	testing	6.203333333
300	testing	6.08
301	testing	5.95
302	testing	5.836666667
303	testing	5.135
304	testing	5.463333333
305	testing	4.78
306	testing	4.783333333
307	testing	5.293333333
308	testing	4.695
309	testing	4.563333333
310	testing	4.42
311	testing	4.23
312	testing	4.84
313	testing	4.343333333
314	testing	4.555
315	testing	4.686666667
316	testing	4.42
317	testing	3.975
318	testing	3.716666667
319	testing	3.98
320	testing	3.665
321	testing	3.593333333
322	testing	3.81
323	testing	4.475
324	testing	4.113333333
325	testing	3.516666667
326	testing	4.16
327	testing	3.79
328	testing	3.63
329	testing	3.695
330	testing	3.666666667
331	testing	3.57
332	testing	3.19
333	testing	3.33
334	testing	3.406666667
335	testing	3.695
336	testing	3.693333333
337	testing	3.233333333
338	testing	3.45
339	testing	3.363333333
340	testing	3.333333333
341	testing	3.535
342	testing	3.746666667
343	testing	3.793333333
344	testing	3.89
345	testing	4.09
346	testing	3.66
347	testing	4.08
348	testing	4.035
349	testing	4.196666667
350	testing	4.426666667
351	testing	4.49
352	testing	4.87
353	testing	4.626666667
354	testing	4.77
355	testing	5.116666667
356	testing	5.343333333
357	testing	5.72
358	testing	5.776666667
359	testing	5.733333333
360	testing	6.29
361	testing	6.203333333
362	testing	6.316666667
363	testing	6.78
364	testing	6.97
365	testing	7.236666667
366	testing	6.98
367	testing	7.77
368	testing	7.34
369	testing	7.933333333
370	testing	8.645
371	testing	8.453333333
372	testing	8.863333333
373	testing	9.37
374	testing	9.525
375	testing	9.706666667
376	testing	9.963333333
377	testing	10.3
378	testing	10.55333333
379	testing	10.36333333
380	testing	11.03666667
381	testing	11.645
382	testing	11.90666667
383	testing	12.12
384	testing	12.51
385	testing	12.99
386	testing	13.80666667
387	testing	14.15333333
388	testing	14.075
389	testing	14.59666667
390	testing	15.12666667
391	testing	15.44
392	testing	15.59666667
393	testing	15.56333333
394	testing	15.91
395	testing	16.895
396	testing	17.10666667
397	testing	17.57333333
398	testing	18.195
399	testing	18.81666667
400	testing	19.10333333
401	testing	19.45333333
402	testing	20.065
403	testing	20.98
404	testing	21.32666667
405	testing	21.83
406	testing	22.45
407	testing	23.27333333
408	testing	23.23666667
409	testing	24.38
410	testing	25.115
411	testing	25.11
412	testing	25.66
413	testing	26.465
414	testing	26.84
415	testing	27.42666667
416	testing	28.12
417	testing	28.58
418	testing	28.90666667
419	testing	29.69
420	testing	30.46666667
421	testing	31.355
422	testing	32.38666667
423	testing	33.15666667
424	testing	33.57
425	testing	34.465
426	testing	35.66
427	testing	36.58333333
428	testing	37.03333333
429	testing	37.96
430	testing	39.03333333
431	testing	39.53333333
432	testing	40.81333333
433	testing	42.19
434	testing	41.72
435	testing	42.37
436	testing	43.03
437	testing	44.19
438	testing	45.46
439	testing	45.92
440	testing	46.79666667
441	testing	47.68
442	testing	48.42
443	testing	48.75333333
444	testing	49.55333333
445	testing	51.46666667
446	testing	51.75
447	testing	52.37
448	testing	54.42666667
449	testing	54.91666667
450	testing	55.525
451	testing	57.18666667
452	testing	58.16333333
453	testing	60.18666667
454	testing	59.63333333
455	testing	62.78
456	testing	62.92666667
457	testing	63.79
458	testing	64.94
459	testing	65.95
460	testing	67.66666667
461	testing	68.64
462	testing	70.63666667
463	testing	72.20666667
464	testing	72.19
465	testing	75.06333333
466	testing	77.03666667
467	testing	78.25333333
468	testing	80.69
469	testing	83.27333333
470	testing	83.86
471	testing	86.46333333
472	testing	87.95666667
473	testing	91.19
474	testing	92.25333333
475	testing	94.83333333
476	testing	97.28
477	testing	99.13333333
478	testing	101.77
479	testing	102.8033333
480	testing	103.9566667
481	testing	105.4933333
482	testing	107.0666667
483	testing	106.64
484	testing	107.79
485	testing	107.8666667
486	testing	107.8966667
487	testing	108.46
488	testing	108.3466667
489	testing	108.205
490	testing	108.54
491	testing	107.5266667
492	testing	107.75
493	testing	106.56
494	testing	106.97
495	testing	106.9966667
496	testing	106.85
497	testing	106.8333333
498	testing	106.82
499	testing	106.635
500	testing	107.5833333
501	testing	107.62
502	testing	107.9866667
503	testing	107.8866667
504	testing	108.3766667
505	testing	109.145
506	testing	108.7566667
507	testing	109.12
508	testing	109.8166667
509	testing	109.3633333
510	testing	110.19
511	testing	110.46
512	testing	110.3033333
513	testing	111.07
514	testing	110.37
515	testing	111.16
516	testing	111.11
517	testing	111.785
518	testing	110.9666667
519	testing	110.94
520	testing	111.03
521	testing	110.9633333
522	testing	111.2366667
523	testing	110.3733333
524	testing	110.935
525	testing	109.8833333
526	testing	109.8033333
527	testing	109.3533333
528	testing	109.29
529	testing	108.73
530	testing	107.8933333
531	testing	107.685
532	testing	107.1933333
533	testing	107.2666667
534	testing	107.36
535	testing	106.9133333
536	testing	106.8
537	testing	107.3933333
538	testing	107.755
539	testing	107.7766667
540	testing	108.5333333
541	testing	108.4833333
542	testing	109.9933333
543	testing	111.0866667
544	testing	111.38
545	testing	112.965
546	testing	113.66
547	testing	115.22
548	testing	116.2233333
549	testing	117.8166667
550	testing	119.1366667
551	testing	120.08
552	testing	121.6533333
553	testing	123.2566667
554	testing	123.56
555	testing	125.07
556	testing	125.1766667
557	testing	126.95
558	testing	127.2133333
559	testing	127.2133333
560	testing	127.8766667
561	testing	127.8266667
562	testing	127.68
563	testing	128.395
564	testing	127.6
565	testing	127.52
566	testing	126.6
567	testing	127.23
568	testing	126
569	testing	125.67
570	testing	125.1766667
571	testing	125.02
572	testing	123.8366667
573	testing	122.33
574	testing	123.7066667
575	testing	122.22
576	testing	121.52
577	testing	121.27
578	testing	120.93
579	testing	119.08
580	testing	119.4133333
581	testing	119.6633333
582	testing	119.02
583	testing	119.07
584	testing	119.495
585	testing	119.0933333
586	testing	119.64
587	testing	120.5266667
588	testing	120.4766667
589	testing	121.6
590	testing	121.9666667
591	testing	123.4633333
592	testing	124.0833333
593	testing	126.55
594	testing	127.3933333
595	testing	129.1033333
596	testing	131.61
597	testing	132.2233333
598	testing	134.275
599	testing	135.4433333
600	testing	138.3033333
601	testing	140.1733333
602	testing	142.52
603	testing	144.54
604	testing	146.8833333
605	testing	148.8966667
606	testing	151.6533333
607	testing	153.2333333
608	testing	155.3533333
609	testing	157.5066667
610	testing	159.3366667
611	testing	160.4266667
612	testing	162.59
613	testing	163.41
614	testing	165.4466667
615	testing	166.1433333
616	testing	167.47
617	testing	168.2133333
618	testing	169.1266667
619	testing	169.505
620	testing	169.54
621	testing	169.9566667
622	testing	170.3133333
623	testing	170.6466667
624	testing	171.3433333
625	testing	171.2033333
626	testing	172.4133333
627	testing	171.7766667
628	testing	172.11
629	testing	171.8466667
630	testing	172.8766667
631	testing	173.71
632	testing	173.5
633	testing	174.2966667
634	testing	174.2
635	testing	175.22
636	testing	176.6866667
637	testing	177.4066667
638	testing	178.4266667
639	testing	178.8533333
640	testing	180.3466667
641	testing	180.8633333
642	testing	182
643	testing	183.3666667
644	testing	185.7266667
645	testing	187.0866667
646	testing	189.2933333
647	testing	190.4333333
648	testing	193.59
649	testing	196.21
650	testing	198.03
651	testing	201.5266667
652	testing	204.11
653	testing	207.7566667
654	testing	210.27
655	testing	213.57
656	testing	217.6266667
657	testing	220.7033333
658	testing	224.8466667
659	testing	228.3833333
660	testing	232.5366667
661	testing	236.68
662	testing	241.32
663	testing	245.71
664	testing	250.09
665	testing	253.48
666	testing	260.225
667	testing	265.9633333
668	testing	270.9833333
669	testing	275.6666667
670	testing	281.4266667
671	testing	285.0233333
672	testing	291.04
673	testing	295.6933333
674	testing	299.5966667
675	testing	305.4966667
676	testing	310.5766667
677	testing	315.1533333
678	testing	320.8766667
679	testing	323.45
680	testing	330.2733333
681	testing	334.21
682	testing	339.1666667
683	testing	343.3
684	testing	347.6766667
685	testing	352.11
686	testing	355.7325
687	testing	360.9433333
688	testing	365.4133333
689	testing	368.9
690	testing	372.3933333
691	testing	378.3966667
692	testing	380.3
693	testing	384.0733333
694	testing	384.6833333
695	testing	391.0733333
696	testing	393.5566667
697	testing	397.2933333
698	testing	400.46
699	testing	404.2925
700	testing	407.41
701	testing	410.13
702	testing	412.15
703	testing	415.9233333
704	testing	417.9266667
705	testing	420.51
706	testing	422.9666667
707	testing	423.9033333
708	testing	427.6333333
709	testing	428.5266667
710	testing	433.035
711	testing	433.9833333
712	testing	435.9633333
713	testing	437.55
714	testing	441.05
715	testing	442.6433333
716	testing	443.22
717	testing	445.2366667
718	testing	446.6566667
719	testing	449.1625
720	testing	451.4766667
721	testing	454.3766667
722	testing	454.2133333
723	testing	457.4766667
724	testing	459.6766667
725	testing	459.9566667
726	testing	463.3
727	testing	465.36
728	testing	467.1266667
729	testing	466.1733333
730	testing	471.4533333
731	testing	472.4166667
732	testing	473.1966667
733	testing	474.46
734	testing	475.72
735	testing	477.5033333
736	testing	479.1033333
737	testing	478.82
738	testing	482.06
739	testing	481.7133333
740	testing	486.66
741	testing	483.15
742	testing	487.2
743	testing	487.0366667
744	testing	486.81
745	testing	487.5766667
746	testing	489.615
747	testing	488.9766667
748	testing	491.26
749	testing	492.9633333
750	testing	492.38
751	testing	494.8333333
752	testing	494.615
753	testing	495.9366667
754	testing	495.64
755	testing	497.8466667
756	testing	498.6
757	testing	500.0166667
758	testing	501.5075
759	testing	500.3033333
760	testing	505.4466667
761	testing	501.93
762	testing	502.22
763	testing	504.3
764	testing	506.8466667
765	testing	506.9833333
766	testing	505.9
767	testing	507.6933333
768	testing	509.15
769	testing	507.67
770	testing	507.72
771	testing	508.52
772	testing	511.985
773	testing	512.1366667
774	testing	514.1166667
775	testing	510.8866667
776	testing	513.5333333
777	testing	514.2125
778	testing	512.5933333
779	testing	513.9166667
780	testing	514.0233333
781	testing	512.6275
